"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"324","GSE1",1277.68174684628,0.675239909181897,0.115642450541566,4.33992762310717e-11,2.09346572022223e-09
"325","IDO1",7.05222403172927,0.656730902081716,0.589304078968859,0.0020120034297323,0.00827772423195935
"326","RAB11FIP4",148.336883378128,0.910798886250805,0.292750599111146,1.43304513258218e-05,0.000129714411852436
"327","GALNT15",58.4028973158394,0.756061506456713,0.310732939693466,0.000101536643085526,0.000676156859131791
"328","SLC6A6",4609.0314381476,1.63002688549574,0.391965157382441,1.70389599337037e-07,2.88262892640894e-06
"329","KCNC3",27.5754623576828,0.903741185245898,0.275402872652185,8.86330155560862e-06,8.57798765791379e-05
"330","PSMC3IP",342.676034672594,-0.567347499154181,0.0854048129946848,7.70329585861012e-14,7.67459730541138e-12
"331","LGALS3",5238.07067477942,1.3251974524817,0.25499708263929,2.48882243563357e-09,7.23990847067987e-08
"332","MATN3",55.6369207928584,-0.66698997842854,0.182304756586393,1.5806735736507e-06,2.01382508459814e-05
"333","PTPRE",1532.49227364494,0.634733766574766,0.427642222886467,0.00133695190895177,0.0058780380583074
"334","ITGB4",569.717821498558,0.731306600661474,0.129746138163253,2.58871862186238e-10,9.86495948826206e-09
"335","TRIM47",618.405868074917,0.657826223291848,0.197333519252293,5.35087371613226e-06,5.64452374083073e-05
"336","NMUR2",18.6444514522635,2.64219348251757,0.29723517879978,4.13263846625819e-21,2.09004795922126e-18
"337","CHI3L1",8489.34156806749,1.04094995690047,0.452261545091747,8.34343241219369e-05,0.000574171287851324
"338","IRS4",41.87173366748,0.580597520732444,0.492835147884974,0.00271781076270375,0.0105440543283007
"339","BEX2",156.736571264518,0.531676072071555,0.168591027380326,1.05727769650602e-05,9.99052640342564e-05
"340","PDZD2",2059.97736111385,1.57623417328431,0.310630230787059,2.69592069969089e-09,7.73896783905617e-08
"341","MICAL2",2027.32297344478,-0.785535255081597,0.188381290444965,3.54846397474166e-07,5.48572376947131e-06
"342","RRAS2",529.819395888058,-0.533281613433688,0.0698482854198696,4.4366396824977e-17,9.80111575076992e-15
"343","LOXL2",499.571709676646,0.934650389882827,0.536684860533648,0.000322344737613841,0.00178867886255834
"344","BHLHE40",2355.09480923325,0.990238300883576,0.315800504478454,1.24676720731959e-05,0.000114900075823292
"345","CHL1",4833.30692997724,0.97452902670334,0.221009969981055,2.12108499524741e-07,3.50669182023388e-06
"346","TSPAN2",20.8030232861491,-0.888360272790725,0.392113025875686,0.000124464104559203,0.000805878736946856
"347","PTPN22",62.5783722383369,-1.85192174184226,0.369014061541309,3.38540053265717e-09,9.4702783599712e-08
"348","RSAD2",90.5897628271819,0.526741235594475,0.300370547224232,0.00108559276427667,0.00493077786229718
"349","DOCK2",46.3110723010167,-0.725196890675325,0.208372084223518,3.71875768470713e-06,4.14445778474159e-05
"350","SOX5",579.147448158181,0.655608903195772,0.193499617583682,4.33936945206251e-06,4.72488893600983e-05
"351","RERG",8.45972743333248,0.717597317295936,0.474501767337584,0.000941685029191508,0.00438963452598353
